ID,PROVINCIA,CANTON,DISTRITO,COD_POSTAL,AREA_KM2,POBL_2022,POBL_2011,POBL_2000
SanJosé.SanJosé.Carmen,SanJosé,SanJosé,Carmen,10101,1.47,2946.0,2702.0,3360.0
SanJosé.SanJosé.Merced,SanJosé,SanJosé,Merced,10102,2.17,15408.0,12257.0,13565.0
SanJosé.SanJosé.Hospital,SanJosé,SanJosé,Hospital,10103,3.3,24030.0,19270.0,24175.0
SanJosé.SanJosé.Catedral,SanJosé,SanJosé,Catedral,10104,2.35,15682.0,12936.0,15341.0
SanJosé.SanJosé.Zapote,SanJosé,SanJosé,Zapote,10105,2.87,21990.0,18679.0,20753.0
SanJosé.SanJosé.SanFranciscodeDosRíos,SanJosé,SanJosé,SanFranciscodeDosRíos,10106,2.64,23745.0,20209.0,21724.0
SanJosé.SanJosé.Uruca,SanJosé,SanJosé,Uruca,10107,8.44,42861.0,31728.0,27110.0
SanJosé.SanJosé.MataRedonda,SanJosé,SanJosé,MataRedonda,10108,3.69,10119.0,8313.0,9321.0
SanJosé.SanJosé.Pavas,SanJosé,SanJosé,Pavas,10109,9.39,89531.0,71384.0,76177.0
SanJosé.SanJosé.Hatillo,SanJosé,SanJosé,Hatillo,10110,4.38,60723.0,50511.0,54901.0
SanJosé.SanJosé.SanSebastián,SanJosé,SanJosé,SanSebastián,10111,4.01,44923.0,40065.0,43245.0
SanJosé.Escazú.Escazú,SanJosé,Escazú,Escazú,10201,4.56,13752.0,11984.0,12379.0
SanJosé.Escazú.SanAntonio,SanJosé,Escazú,SanAntonio,10202,17.01,28329.0,22554.0,20795.0
SanJosé.Escazú.SanRafael,SanJosé,Escazú,SanRafael,10203,12.96,29121.0,21971.0,19198.0
SanJosé.Desamparados.Desamparados,SanJosé,Desamparados,Desamparados,10301,3.31,37479.0,33866.0,36437.0
SanJosé.Desamparados.SanMiguel,SanJosé,Desamparados,SanMiguel,10302,21.36,38716.0,31805.0,28336.0
SanJosé.Desamparados.SanJuandeDios,SanJosé,Desamparados,SanJuandeDios,10303,2.98,24505.0,19481.0,16577.0
SanJosé.Desamparados.SanRafaelArriba,SanJosé,Desamparados,SanRafaelArriba,10304,3.21,18412.0,15262.0,13008.0
SanJosé.Desamparados.SanAntonio,SanJosé,Desamparados,SanAntonio,10305,2.1,11343.0,9727.0,9775.0
SanJosé.Desamparados.Frailes,SanJosé,Desamparados,Frailes,10306,19.57,4586.0,3772.0,3504.0
SanJosé.Desamparados.Patarrá,SanJosé,Desamparados,Patarrá,10307,16.09,14919.0,11921.0,28451.0
SanJosé.Desamparados.SanCristóbal,SanJosé,Desamparados,SanCristóbal,10308,25.47,4769.0,3905.0,3360.0
SanJosé.Desamparados.Rosario,SanJosé,Desamparados,Rosario,10309,14.77,3787.0,3088.0,2710.0
SanJosé.Desamparados.Damas,SanJosé,Desamparados,Damas,10310,2.57,15713.0,13175.0,12993.0
SanJosé.Desamparados.SanRafaelAbajo,SanJosé,Desamparados,SanRafaelAbajo,10311,2.01,26781.0,23283.0,22481.0
SanJosé.Desamparados.Gravilias,SanJosé,Desamparados,Gravilias,10312,2.94,17237.0,15024.0,15846.0
SanJosé.Desamparados.LosGuido,SanJosé,Desamparados,LosGuido,10313,3.01,31120.0,24102.0,
SanJosé.Puriscal.Santiago,SanJosé,Puriscal,Santiago,10401,34.52,12600.0,11512.0,10884.0
SanJosé.Puriscal.MercedesSur,SanJosé,Puriscal,MercedesSur,10402,183.58,7099.0,5866.0,5082.0
SanJosé.Puriscal.Barbacoas,SanJosé,Puriscal,Barbacoas,10403,18.74,4486.0,3692.0,3210.0
SanJosé.Puriscal.GrifoAlto,SanJosé,Puriscal,GrifoAlto,10404,26.21,1492.0,1182.0,1101.0
SanJosé.Puriscal.SanRafael,SanJosé,Puriscal,SanRafael,10405,15.53,2009.0,1730.0,1524.0
SanJosé.Puriscal.Candelarita,SanJosé,Puriscal,Candelarita,10406,24.87,1753.0,1436.0,1425.0
SanJosé.Puriscal.Desamparaditos,SanJosé,Puriscal,Desamparaditos,10407,7.14,794.0,666.0,572.0
SanJosé.Puriscal.SanAntonio,SanJosé,Puriscal,SanAntonio,10408,14.5,4720.0,3889.0,2803.0
SanJosé.Puriscal.Chires,SanJosé,Puriscal,Chires,10409,230.47,3640.0,3031.0,2806.0
SanJosé.Tarrazú.SanMarcos,SanJosé,Tarrazú,SanMarcos,10501,45.53,11365.0,9993.0,8240.0
SanJosé.Tarrazú.SanLorenzo,SanJosé,Tarrazú,SanLorenzo,10502,185.64,5250.0,4394.0,4029.0
SanJosé.Tarrazú.SanCarlos,SanJosé,Tarrazú,SanCarlos,10503,58.58,2172.0,1893.0,1891.0
SanJosé.Aserrí.Aserrí,SanJosé,Aserrí,Aserrí,10601,15.25,30347.0,28191.0,23844.0
SanJosé.Aserrí.Tarbaca,SanJosé,Aserrí,Tarbaca,10602,15.33,1676.0,1446.0,1231.0
SanJosé.Aserrí.VueltadeJorco,SanJosé,Aserrí,VueltadeJorco,10603,22.04,7342.0,6499.0,6155.0
SanJosé.Aserrí.SanGabriel,SanJosé,Aserrí,SanGabriel,10604,11.76,6930.0,6061.0,5048.0
SanJosé.Aserrí.Legua,SanJosé,Aserrí,Legua,10605,81.51,1748.0,1521.0,1472.0
SanJosé.Aserrí.Monterrey,SanJosé,Aserrí,Monterrey,10606,8.36,558.0,498.0,421.0
SanJosé.Aserrí.Salitrillos,SanJosé,Aserrí,Salitrillos,10607,14.35,15879.0,13676.0,11148.0
SanJosé.Mora.Colón,SanJosé,Mora,Colón,10701,40.12,17411.0,16088.0,13477.0
SanJosé.Mora.Guayabo,SanJosé,Mora,Guayabo,10702,8.99,5414.0,4449.0,3215.0
SanJosé.Mora.Tabarcia,SanJosé,Mora,Tabarcia,10703,40.39,5160.0,4703.0,3994.0
SanJosé.Mora.PiedrasNegras,SanJosé,Mora,PiedrasNegras,10704,14.84,498.0,379.0,318.0
SanJosé.Mora.Picagres,SanJosé,Mora,Picagres,10705,27.2,899.0,675.0,662.0
SanJosé.Mora.Jaris,SanJosé,Mora,Jaris,10706,5.53,1377.0,,
SanJosé.Mora.Quitirrisí,SanJosé,Mora,Quitirrisí,10707,26.69,,,
SanJosé.Goicoechea.Guadalupe,SanJosé,Goicoechea,Guadalupe,10801,2.38,22347.0,20663.0,23723.0
SanJosé.Goicoechea.SanFrancisco,SanJosé,Goicoechea,SanFrancisco,10802,0.57,2421.0,2032.0,2552.0
SanJosé.Goicoechea.CalleBlancos,SanJosé,Goicoechea,CalleBlancos,10803,2.36,23451.0,18984.0,19411.0
SanJosé.Goicoechea.MatadePlátano,SanJosé,Goicoechea,MatadePlátano,10804,7.85,21198.0,17370.0,16206.0
SanJosé.Goicoechea.Ipís,SanJosé,Goicoechea,Ipís,10805,2.37,32049.0,26033.0,26155.0
SanJosé.Goicoechea.RanchoRedondo,SanJosé,Goicoechea,RanchoRedondo,10806,13.38,3224.0,2538.0,2718.0
SanJosé.Goicoechea.Purral,SanJosé,Goicoechea,Purral,10807,3.11,36074.0,27464.0,26767.0
SanJosé.SantaAna.SantaAna,SanJosé,SantaAna,SantaAna,10901,5.4,12956.0,11320.0,8517.0
SanJosé.SantaAna.Salitral,SanJosé,SantaAna,Salitral,10902,20.2,5587.0,4304.0,3369.0
SanJosé.SantaAna.Pozos,SanJosé,SantaAna,Pozos,10903,13.34,20671.0,15585.0,9025.0
SanJosé.SantaAna.Uruca,SanJosé,SantaAna,Uruca,10904,7.07,9129.0,7200.0,5635.0
SanJosé.SantaAna.Piedades,SanJosé,SantaAna,Piedades,10905,12.01,10263.0,8128.0,6199.0
SanJosé.SantaAna.Brasil,SanJosé,SantaAna,Brasil,10906,3.25,3247.0,2586.0,1762.0
SanJosé.Alajuelita.Alajuelita,SanJosé,Alajuelita,Alajuelita,11001,1.3,13325.0,11988.0,12247.0
SanJosé.Alajuelita.SanJosecito,SanJosé,Alajuelita,SanJosecito,11002,2.42,13069.0,10506.0,8500.0
SanJosé.Alajuelita.SanAntonio,SanJosé,Alajuelita,SanAntonio,11003,10.22,6003.0,4739.0,3193.0
SanJosé.Alajuelita.Concepción,SanJosé,Alajuelita,Concepción,11004,2.4,23455.0,18721.0,19268.0
SanJosé.Alajuelita.SanFelipe,SanJosé,Alajuelita,SanFelipe,11005,5.1,41306.0,31649.0,27089.0
SanJosé.VázquezdeCoronado.SanIsidro,SanJosé,VázquezdeCoronado,SanIsidro,11101,5.14,18631.0,16625.0,15570.0
SanJosé.VázquezdeCoronado.SanRafael,SanJosé,VázquezdeCoronado,SanRafael,11102,16.95,8643.0,7040.0,6389.0
SanJosé.VázquezdeCoronado.DulceNombredeJesús,SanJosé,VázquezdeCoronado,DulceNombredeJesús,11103,67.86,12149.0,9744.0,9352.0
SanJosé.VázquezdeCoronado.Patalillo,SanJosé,VázquezdeCoronado,Patalillo,11104,1.97,24907.0,20349.0,17731.0
SanJosé.VázquezdeCoronado.Cascajal,SanJosé,VázquezdeCoronado,Cascajal,11105,131.72,8602.0,6728.0,6543.0
SanJosé.Acosta.SanIgnacio,SanJosé,Acosta,SanIgnacio,11201,22.63,9475.0,9016.0,7728.0
SanJosé.Acosta.Guaitil,SanJosé,Acosta,Guaitil,11202,43.85,2685.0,2406.0,2555.0
SanJosé.Acosta.Palmichal,SanJosé,Acosta,Palmichal,11203,34.17,5308.0,4581.0,3852.0
SanJosé.Acosta.Cangrejal,SanJosé,Acosta,Cangrejal,11204,64.46,2121.0,1875.0,1987.0
SanJosé.Acosta.Sabanillas,SanJosé,Acosta,Sabanillas,11205,176.83,2668.0,2331.0,2539.0
SanJosé.Tibás.SanJuan,SanJosé,Tibás,SanJuan,11301,3.56,25866.0,21745.0,24944.0
SanJosé.Tibás.CincoEsquinas,SanJosé,Tibás,CincoEsquinas,11302,0.67,8617.0,5925.0,6379.0
SanJosé.Tibás.AnselmoLlorente,SanJosé,Tibás,AnselmoLlorente,11303,1.36,12913.0,9986.0,10103.0
SanJosé.Tibás.LeónXIII,SanJosé,Tibás,LeónXIII,11304,0.78,20551.0,13661.0,16400.0
SanJosé.Tibás.Colima,SanJosé,Tibás,Colima,11305,2.0,18118.0,13525.0,14248.0
SanJosé.Moravia.SanVicente,SanJosé,Moravia,SanVicente,11401,5.39,32041.0,30998.0,31693.0
SanJosé.Moravia.SanJerónimo,SanJosé,Moravia,SanJerónimo,11402,18.58,7463.0,6154.0,4911.0
SanJosé.Moravia.LaTrinidad,SanJosé,Moravia,LaTrinidad,11403,4.94,23755.0,19767.0,13815.0
SanJosé.MontesdeOca.SanPedro,SanJosé,MontesdeOca,SanPedro,11501,4.7,28844.0,23977.0,26524.0
SanJosé.MontesdeOca.Sabanilla,SanJosé,MontesdeOca,Sabanilla,11502,1.78,14082.0,10775.0,11324.0
SanJosé.MontesdeOca.Mercedes,SanJosé,MontesdeOca,Mercedes,11503,1.44,6086.0,4688.0,4872.0
SanJosé.MontesdeOca.SanRafael,SanJosé,MontesdeOca,SanRafael,11504,7.74,13832.0,9692.0,7713.0
SanJosé.Turrubares.SanPablo,SanJosé,Turrubares,SanPablo,11601,26.37,1573.0,1357.0,1192.0
SanJosé.Turrubares.SanPedro,SanJosé,Turrubares,SanPedro,11602,39.11,861.0,646.0,499.0
SanJosé.Turrubares.SanJuandeMata,SanJosé,Turrubares,SanJuandeMata,11603,86.17,1546.0,1182.0,2725.0
SanJosé.Turrubares.SanLuis,SanJosé,Turrubares,SanLuis,11604,43.71,721.0,517.0,461.0
SanJosé.Turrubares.Carara,SanJosé,Turrubares,Carara,11605,220.35,2330.0,1810.0,
SanJosé.Dota.SantaMaría,SanJosé,Dota,SantaMaría,11701,92.84,5251.0,4621.0,4274.0
SanJosé.Dota.Jardín,SanJosé,Dota,Jardín,11702,32.71,702.0,524.0,475.0
SanJosé.Dota.Copey,SanJosé,Dota,Copey,11703,279.41,2088.0,1803.0,1770.0
SanJosé.Curridabat.Curridabat,SanJosé,Curridabat,Curridabat,11801,6.16,32605.0,28817.0,30316.0
SanJosé.Curridabat.Granadilla,SanJosé,Curridabat,Granadilla,11802,3.52,19207.0,14778.0,11600.0
SanJosé.Curridabat.Sánchez,SanJosé,Curridabat,Sánchez,11803,4.53,6833.0,5364.0,3147.0
SanJosé.Curridabat.Tirrases,SanJosé,Curridabat,Tirrases,11804,1.87,22032.0,16247.0,15826.0
SanJosé.PérezZeledón.SanIsidrodeElGeneral,SanJosé,PérezZeledón,SanIsidrodeElGeneral,11901,191.53,48435.0,45327.0,41221.0
SanJosé.PérezZeledón.ElGeneral,SanJosé,PérezZeledón,ElGeneral,11902,76.35,6873.0,6373.0,5882.0
SanJosé.PérezZeledón.DanielFlores,SanJosé,PérezZeledón,DanielFlores,11903,64.3,35584.0,33537.0,26359.0
SanJosé.PérezZeledón.Rivas,SanJosé,PérezZeledón,Rivas,11904,310.28,7318.0,6591.0,6531.0
SanJosé.PérezZeledón.SanPedro,SanJosé,PérezZeledón,SanPedro,11905,205.96,9344.0,9102.0,9013.0
SanJosé.PérezZeledón.Platanares,SanJosé,PérezZeledón,Platanares,11906,79.84,7497.0,7203.0,7308.0
SanJosé.PérezZeledón.Pejibaye,SanJosé,PérezZeledón,Pejibaye,11907,140.78,7972.0,7995.0,8627.0
SanJosé.PérezZeledón.Cajón,SanJosé,PérezZeledón,Cajón,11908,118.86,9045.0,8542.0,7467.0
SanJosé.PérezZeledón.Barú,SanJosé,PérezZeledón,Barú,11909,191.42,2854.0,2393.0,2335.0
SanJosé.PérezZeledón.RíoNuevo,SanJosé,PérezZeledón,RíoNuevo,11910,240.68,3495.0,3061.0,3219.0
SanJosé.PérezZeledón.Páramo,SanJosé,PérezZeledón,Páramo,11911,203.17,4865.0,4410.0,4225.0
SanJosé.PérezZeledón.LaAmistad,SanJosé,PérezZeledón,LaAmistad,11912,76.11,,,
SanJosé.LeónCortés.SanPablo,SanJosé,LeónCortés,SanPablo,12001,20.86,4663.0,4209.0,3780.0
SanJosé.LeónCortés.SanAndrés,SanJosé,LeónCortés,SanAndrés,12002,16.08,1746.0,1578.0,1804.0
SanJosé.LeónCortés.LlanoBonito,SanJosé,LeónCortés,LlanoBonito,12003,34.51,2269.0,2111.0,2135.0
SanJosé.LeónCortés.SanIsidro,SanJosé,LeónCortés,SanIsidro,12004,18.86,1870.0,1531.0,1426.0
SanJosé.LeónCortés.SantaCruz,SanJosé,LeónCortés,SantaCruz,12005,21.97,2164.0,1665.0,1626.0
SanJosé.LeónCortés.SanAntonio,SanJosé,LeónCortés,SanAntonio,12006,10.15,1278.0,1106.0,925.0
Alajuela.Alajuela.Alajuela,Alajuela,Alajuela,Alajuela,20101,8.89,48326.0,42975.0,42889.0
Alajuela.Alajuela.SanJosé,Alajuela,Alajuela,SanJosé,20102,14.69,52686.0,41656.0,35405.0
Alajuela.Alajuela.Carrizal,Alajuela,Alajuela,Carrizal,20103,16.12,9002.0,6856.0,6455.0
Alajuela.Alajuela.SanAntonio,Alajuela,Alajuela,SanAntonio,20104,8.93,31637.0,24971.0,22094.0
Alajuela.Alajuela.Guácima,Alajuela,Alajuela,Guácima,20105,28.04,26642.0,20183.0,15450.0
Alajuela.Alajuela.SanIsidro,Alajuela,Alajuela,SanIsidro,20106,36.09,22586.0,17294.0,16247.0
Alajuela.Alajuela.Sabanilla,Alajuela,Alajuela,Sabanilla,20107,43.05,12396.0,9059.0,8335.0
Alajuela.Alajuela.SanRafael,Alajuela,Alajuela,SanRafael,20108,19.29,34182.0,26248.0,19162.0
Alajuela.Alajuela.RíoSegundo,Alajuela,Alajuela,RíoSegundo,20109,5.57,13561.0,10794.0,11036.0
Alajuela.Alajuela.Desamparados,Alajuela,Alajuela,Desamparados,20110,12.95,33654.0,26109.0,21075.0
Alajuela.Alajuela.Turrúcares,Alajuela,Alajuela,Turrúcares,20111,35.99,9349.0,7630.0,5986.0
Alajuela.Alajuela.Tambor,Alajuela,Alajuela,Tambor,20112,13.88,14338.0,10992.0,9370.0
Alajuela.Alajuela.Garita,Alajuela,Alajuela,Garita,20113,33.91,9492.0,7277.0,6856.0
Alajuela.Alajuela.Sarapiquí,Alajuela,Alajuela,Sarapiquí,20114,113.98,4021.0,2842.0,2493.0
Alajuela.SanRamón.SanRamón,Alajuela,SanRamón,SanRamón,20201,1.28,9107.0,8717.0,9659.0
Alajuela.SanRamón.Santiago,Alajuela,SanRamón,Santiago,20202,61.0,5699.0,4535.0,3976.0
Alajuela.SanRamón.SanJuan,Alajuela,SanRamón,SanJuan,20203,5.09,13406.0,11695.0,9690.0
Alajuela.SanRamón.PiedadesNorte,Alajuela,SanRamón,PiedadesNorte,20204,47.2,9564.0,8147.0,6846.0
Alajuela.SanRamón.PiedadesSur,Alajuela,SanRamón,PiedadesSur,20205,116.29,4603.0,3738.0,3448.0
Alajuela.SanRamón.SanRafael,Alajuela,SanRamón,SanRafael,20206,30.73,10904.0,9321.0,8384.0
Alajuela.SanRamón.SanIsidro,Alajuela,SanRamón,SanIsidro,20207,8.72,5938.0,4478.0,3553.0
Alajuela.SanRamón.Ángeles,Alajuela,SanRamón,Ángeles,20208,81.41,9793.0,8500.0,7073.0
Alajuela.SanRamón.Alfaro,Alajuela,SanRamón,Alfaro,20209,17.87,8402.0,7137.0,4741.0
Alajuela.SanRamón.Volio,Alajuela,SanRamón,Volio,20210,20.46,2727.0,2270.0,1669.0
Alajuela.SanRamón.Concepción,Alajuela,SanRamón,Concepción,20211,9.49,2765.0,2348.0,1841.0
Alajuela.SanRamón.Zapotal,Alajuela,SanRamón,Zapotal,20212,67.24,515.0,391.0,463.0
Alajuela.SanRamón.PeñasBlancas,Alajuela,SanRamón,PeñasBlancas,20213,247.04,12371.0,9289.0,6632.0
Alajuela.SanRamón.SanLorenzo,Alajuela,SanRamón,SanLorenzo,20214,309.15,,,
Alajuela.Grecia.Grecia,Alajuela,Grecia,Grecia,20301,7.51,16146.0,14859.0,14277.0
Alajuela.Grecia.SanIsidro,Alajuela,Grecia,SanIsidro,20302,17.01,7293.0,5949.0,5201.0
Alajuela.Grecia.SanJosé,Alajuela,Grecia,SanJosé,20303,12.36,10231.0,8100.0,6206.0
Alajuela.Grecia.SanRoque,Alajuela,Grecia,SanRoque,20304,27.0,13660.0,11132.0,9163.0
Alajuela.Grecia.Tacares,Alajuela,Grecia,Tacares,20305,24.82,10050.0,7963.0,6879.0
Alajuela.Grecia.PuentedePiedra,Alajuela,Grecia,PuentedePiedra,20307,23.07,13274.0,10556.0,9325.0
Alajuela.Grecia.Bolívar,Alajuela,Grecia,Bolívar,20308,30.77,9018.0,7265.0,6324.0
Alajuela.SanMateo.SanMateo,Alajuela,SanMateo,SanMateo,20401,64.85,3071.0,2692.0,2529.0
Alajuela.SanMateo.Desmonte,Alajuela,SanMateo,Desmonte,20402,20.19,1201.0,1047.0,871.0
Alajuela.SanMateo.JesúsMaría,Alajuela,SanMateo,JesúsMaría,20403,18.79,1517.0,2397.0,1943.0
