PROVINCIA,CANTON,DISTRITO,POBL_2022
SanJosé,SanJosé,Carmen,2946.0
SanJosé,SanJosé,Merced,15408.0
SanJosé,SanJosé,Hospital,24030.0
SanJosé,SanJosé,Catedral,15682.0
SanJosé,SanJosé,Zapote,21990.0
SanJosé,SanJosé,SanFranciscodeDosRíos,23745.0
SanJosé,SanJosé,Uruca,42861.0
SanJosé,SanJosé,MataRedonda,10119.0
SanJosé,SanJosé,Pavas,89531.0
SanJosé,SanJosé,Hatillo,60723.0
SanJosé,SanJosé,SanSebastián,44923.0
SanJosé,Escazú,Escazú,13752.0
SanJosé,Escazú,SanAntonio,28329.0
SanJosé,Escazú,SanRafael,29121.0
SanJosé,Desamparados,Desamparados,37479.0
SanJosé,Desamparados,SanMiguel,38716.0
SanJosé,Desamparados,SanJuandeDios,24505.0
SanJosé,Desamparados,SanRafaelArriba,18412.0
SanJosé,Desamparados,SanAntonio,11343.0
SanJosé,Desamparados,Frailes,4586.0
SanJosé,Desamparados,Patarrá,14919.0
SanJosé,Desamparados,SanCristóbal,4769.0
SanJosé,Desamparados,Rosario,3787.0
SanJosé,Desamparados,Damas,15713.0
SanJosé,Desamparados,SanRafaelAbajo,26781.0
SanJosé,Desamparados,Gravilias,17237.0
SanJosé,Desamparados,LosGuido,31120.0
SanJosé,Puriscal,Santiago,12600.0
SanJosé,Puriscal,MercedesSur,7099.0
SanJosé,Puriscal,Barbacoas,4486.0
SanJosé,Puriscal,GrifoAlto,1492.0
SanJosé,Puriscal,SanRafael,2009.0
SanJosé,Puriscal,Candelarita,1753.0
SanJosé,Puriscal,Desamparaditos,794.0
SanJosé,Puriscal,SanAntonio,4720.0
SanJosé,Puriscal,Chires,3640.0
SanJosé,Tarrazú,SanMarcos,11365.0
SanJosé,Tarrazú,SanLorenzo,5250.0
SanJosé,Tarrazú,SanCarlos,2172.0
SanJosé,Aserrí,Aserrí,30347.0
SanJosé,Aserrí,Tarbaca,1676.0
SanJosé,Aserrí,VueltadeJorco,7342.0
SanJosé,Aserrí,SanGabriel,6930.0
SanJosé,Aserrí,Legua,1748.0
SanJosé,Aserrí,Monterrey,558.0
SanJosé,Aserrí,Salitrillos,15879.0
SanJosé,Mora,Colón,17411.0
SanJosé,Mora,Guayabo,5414.0
SanJosé,Mora,Tabarcia,5160.0
SanJosé,Mora,PiedrasNegras,498.0
SanJosé,Mora,Picagres,899.0
SanJosé,Mora,Jaris,1377.0
SanJosé,Mora,Quitirrisí,
SanJosé,Goicoechea,Guadalupe,22347.0
SanJosé,Goicoechea,SanFrancisco,2421.0
SanJosé,Goicoechea,CalleBlancos,23451.0
SanJosé,Goicoechea,MatadePlátano,21198.0
SanJosé,Goicoechea,Ipís,32049.0
SanJosé,Goicoechea,RanchoRedondo,3224.0
SanJosé,Goicoechea,Purral,36074.0
SanJosé,SantaAna,SantaAna,12956.0
SanJosé,SantaAna,Salitral,5587.0
SanJosé,SantaAna,Pozos,20671.0
SanJosé,SantaAna,Uruca,9129.0
SanJosé,SantaAna,Piedades,10263.0
SanJosé,SantaAna,Brasil,3247.0
SanJosé,Alajuelita,Alajuelita,13325.0
SanJosé,Alajuelita,SanJosecito,13069.0
SanJosé,Alajuelita,SanAntonio,6003.0
SanJosé,Alajuelita,Concepción,23455.0
SanJosé,Alajuelita,SanFelipe,41306.0
SanJosé,VázquezdeCoronado,SanIsidro,18631.0
SanJosé,VázquezdeCoronado,SanRafael,8643.0
SanJosé,VázquezdeCoronado,DulceNombredeJesús,12149.0
SanJosé,VázquezdeCoronado,Patalillo,24907.0
SanJosé,VázquezdeCoronado,Cascajal,8602.0
SanJosé,Acosta,SanIgnacio,9475.0
SanJosé,Acosta,Guaitil,2685.0
SanJosé,Acosta,Palmichal,5308.0
SanJosé,Acosta,Cangrejal,2121.0
SanJosé,Acosta,Sabanillas,2668.0
SanJosé,Tibás,SanJuan,25866.0
SanJosé,Tibás,CincoEsquinas,8617.0
SanJosé,Tibás,AnselmoLlorente,12913.0
SanJosé,Tibás,LeónXIII,20551.0
SanJosé,Tibás,Colima,18118.0
SanJosé,Moravia,SanVicente,32041.0
SanJosé,Moravia,SanJerónimo,7463.0
SanJosé,Moravia,LaTrinidad,23755.0
SanJosé,MontesdeOca,SanPedro,28844.0
SanJosé,MontesdeOca,Sabanilla,14082.0
SanJosé,MontesdeOca,Mercedes,6086.0
SanJosé,MontesdeOca,SanRafael,13832.0
SanJosé,Turrubares,SanPablo,1573.0
SanJosé,Turrubares,SanPedro,861.0
SanJosé,Turrubares,SanJuandeMata,1546.0
SanJosé,Turrubares,SanLuis,721.0
SanJosé,Turrubares,Carara,2330.0
SanJosé,Dota,SantaMaría,5251.0
SanJosé,Dota,Jardín,702.0
SanJosé,Dota,Copey,2088.0
SanJosé,Curridabat,Curridabat,32605.0
SanJosé,Curridabat,Granadilla,19207.0
SanJosé,Curridabat,Sánchez,6833.0
SanJosé,Curridabat,Tirrases,22032.0
SanJosé,PérezZeledón,SanIsidrodeElGeneral,48435.0
SanJosé,PérezZeledón,ElGeneral,6873.0
SanJosé,PérezZeledón,DanielFlores,35584.0
SanJosé,PérezZeledón,Rivas,7318.0
SanJosé,PérezZeledón,SanPedro,9344.0
SanJosé,PérezZeledón,Platanares,7497.0
SanJosé,PérezZeledón,Pejibaye,7972.0
SanJosé,PérezZeledón,Cajón,9045.0
SanJosé,PérezZeledón,Barú,2854.0
SanJosé,PérezZeledón,RíoNuevo,3495.0
SanJosé,PérezZeledón,Páramo,4865.0
SanJosé,PérezZeledón,LaAmistad,
SanJosé,LeónCortés,SanPablo,4663.0
SanJosé,LeónCortés,SanAndrés,1746.0
SanJosé,LeónCortés,LlanoBonito,2269.0
SanJosé,LeónCortés,SanIsidro,1870.0
SanJosé,LeónCortés,SantaCruz,2164.0
SanJosé,LeónCortés,SanAntonio,1278.0
Alajuela,Alajuela,Alajuela,48326.0
Alajuela,Alajuela,SanJosé,52686.0
Alajuela,Alajuela,Carrizal,9002.0
Alajuela,Alajuela,SanAntonio,31637.0
Alajuela,Alajuela,Guácima,26642.0
Alajuela,Alajuela,SanIsidro,22586.0
Alajuela,Alajuela,Sabanilla,12396.0
Alajuela,Alajuela,SanRafael,34182.0
Alajuela,Alajuela,RíoSegundo,13561.0
Alajuela,Alajuela,Desamparados,33654.0
Alajuela,Alajuela,Turrúcares,9349.0
Alajuela,Alajuela,Tambor,14338.0
Alajuela,Alajuela,Garita,9492.0
Alajuela,Alajuela,Sarapiquí,4021.0
Alajuela,SanRamón,SanRamón,9107.0
Alajuela,SanRamón,Santiago,5699.0
Alajuela,SanRamón,SanJuan,13406.0
Alajuela,SanRamón,PiedadesNorte,9564.0
Alajuela,SanRamón,PiedadesSur,4603.0
Alajuela,SanRamón,SanRafael,10904.0
Alajuela,SanRamón,SanIsidro,5938.0
Alajuela,SanRamón,Ángeles,9793.0
Alajuela,SanRamón,Alfaro,8402.0
Alajuela,SanRamón,Volio,2727.0
Alajuela,SanRamón,Concepción,2765.0
Alajuela,SanRamón,Zapotal,515.0
Alajuela,SanRamón,PeñasBlancas,12371.0
Alajuela,SanRamón,SanLorenzo,
Alajuela,Grecia,Grecia,16146.0
Alajuela,Grecia,SanIsidro,7293.0
Alajuela,Grecia,SanJosé,10231.0
Alajuela,Grecia,SanRoque,13660.0
Alajuela,Grecia,Tacares,10050.0
Alajuela,Grecia,PuentedePiedra,13274.0
Alajuela,Grecia,Bolívar,9018.0
Alajuela,SanMateo,SanMateo,3071.0
Alajuela,SanMateo,Desmonte,1201.0
Alajuela,SanMateo,JesúsMaría,1517.0
Alajuela,SanMateo,Labrador,1487.0
Alajuela,Atenas,Atenas,8015.0
Alajuela,Atenas,Jesús,4396.0
Alajuela,Atenas,Mercedes,3832.0
Alajuela,Atenas,SanIsidro,3521.0
Alajuela,Atenas,Concepción,4261.0
Alajuela,Atenas,SanJosé,2326.0
Alajuela,Atenas,SantaEulalia,2510.0
Alajuela,Atenas,Escobal,1019.0
Alajuela,Naranjo,Naranjo,17348.0
Alajuela,Naranjo,SanMiguel,5782.0
Alajuela,Naranjo,SanJosé,3666.0
Alajuela,Naranjo,CirríSur,5533.0
Alajuela,Naranjo,SanJerónimo,4076.0
Alajuela,Naranjo,SanJuan,3688.0
Alajuela,Naranjo,ElRosario,4638.0
Alajuela,Naranjo,Palmitos,5033.0
Alajuela,Palmares,Palmares,3764.0
Alajuela,Palmares,Zaragoza,9901.0
Alajuela,Palmares,BuenosAires,8931.0
Alajuela,Palmares,Santiago,3379.0
Alajuela,Palmares,Candelaria,2457.0
Alajuela,Palmares,Esquipulas,8435.0
Alajuela,Palmares,LaGranja,4938.0
Alajuela,Poás,SanPedro,8243.0
Alajuela,Poás,SanJuan,5647.0
Alajuela,Poás,SanRafael,6655.0
Alajuela,Poás,Carrillos,11330.0
Alajuela,Poás,SabanaRedonda,3051.0
Alajuela,Orotina,Orotina,10680.0
Alajuela,Orotina,ElMastate,2249.0
Alajuela,Orotina,HaciendaVieja,1242.0
Alajuela,Orotina,Coyolar,7685.0
Alajuela,Orotina,LaCeiba,2592.0
Alajuela,SanCarlos,Quesada,46127.0
Alajuela,SanCarlos,Florencia,18517.0
Alajuela,SanCarlos,Buenavista,420.0
Alajuela,SanCarlos,AguasZarcas,26305.0
Alajuela,SanCarlos,Venecia,12172.0
Alajuela,SanCarlos,Pital,25359.0
Alajuela,SanCarlos,LaFortuna,19584.0
Alajuela,SanCarlos,LaTigra,7964.0
Alajuela,SanCarlos,LaPalmera,7940.0
Alajuela,SanCarlos,Venado,2173.0
Alajuela,SanCarlos,Cutris,15537.0
Alajuela,SanCarlos,Monterrey,4321.0
Alajuela,SanCarlos,Pocosol,19696.0
Alajuela,Zarcero,Zarcero,4397.0
Alajuela,Zarcero,Laguna,2031.0
Alajuela,Zarcero,Tapesco,1582.0
Alajuela,Zarcero,Guadalupe,1427.0
Alajuela,Zarcero,Palmira,1712.0
Alajuela,Zarcero,Zapote,944.0
Alajuela,Zarcero,Brisas,2536.0
Alajuela,Sarchí,SarchíNorte,8382.0
Alajuela,Sarchí,SarchíSur,6539.0
Alajuela,Sarchí,ToroAmarillo,380.0
Alajuela,Sarchí,SanPedro,4463.0
Alajuela,Sarchí,Rodríguez,2832.0
Alajuela,Upala,Upala,16850.0
Alajuela,Upala,AguasClaras,5714.0
Alajuela,Upala,SanJosé,8795.0
Alajuela,Upala,Bijagua,5363.0
Alajuela,Upala,Delicias,5479.0
Alajuela,Upala,DosRíos,4017.0
Alajuela,Upala,Yolillal,4129.0
Alajuela,Upala,Canalete,5119.0
Alajuela,LosChiles,LosChiles,21714.0
Alajuela,LosChiles,CañoNegro,2333.0
Alajuela,LosChiles,ElAmparo,7772.0
Alajuela,LosChiles,SanJorge,3369.0
Alajuela,Guatuso,SanRafael,10117.0
Alajuela,Guatuso,Buenavista,1990.0
Alajuela,Guatuso,Cote,1092.0
Alajuela,Guatuso,Katira,6497.0
Alajuela,RíoCuarto,RíoCuarto,
Alajuela,RíoCuarto,SantaRita,
Alajuela,RíoCuarto,SantaIsabel,
Cartago,Cartago,Oriental,12310.0
Cartago,Cartago,Occidental,10465.0
Cartago,Cartago,Carmen,19390.0
Cartago,Cartago,SanNicolás,29913.0
Cartago,Cartago,Aguacaliente,36408.0
Cartago,Cartago,Guadalupe,16547.0
Cartago,Cartago,Corralillo,12064.0
Cartago,Cartago,TierraBlanca,5926.0
Cartago,Cartago,DulceNombre,12004.0
Cartago,Cartago,LlanoGrande,5120.0
Cartago,Cartago,Quebradilla,6057.0
Cartago,Paraíso,Paraíso,21561.0
Cartago,Paraíso,Santiago,6493.0
Cartago,Paraíso,Orosi,10208.0
Cartago,Paraíso,Cachí,5944.0
Cartago,Paraíso,LlanosdeSantaLucía,19590.0
Cartago,Paraíso,Birrisito,
Cartago,LaUnión,TresRíos,9298.0
Cartago,LaUnión,SanDiego,25354.0
Cartago,LaUnión,SanJuan,15752.0
Cartago,LaUnión,SanRafael,16277.0
Cartago,LaUnión,Concepción,19259.0
Cartago,LaUnión,DulceNombre,9289.0
Cartago,LaUnión,SanRamón,4526.0
Cartago,LaUnión,RíoAzul,14860.0
Cartago,Jiménez,JuanViñas,7095.0
Cartago,Jiménez,Tucurrique,5601.0
Cartago,Jiménez,Pejibaye,3665.0
Cartago,Jiménez,LaVictoria,
Cartago,Turrialba,Turrialba,27039.0
Cartago,Turrialba,LaSuiza,7939.0
Cartago,Turrialba,Peralta,621.0
Cartago,Turrialba,SantaCruz,3804.0
Cartago,Turrialba,SantaTeresita,5402.0
Cartago,Turrialba,Pavones,4628.0
Cartago,Turrialba,Tuis,2950.0
Cartago,Turrialba,Tayutic,2506.0
Cartago,Turrialba,SantaRosa,5747.0
Cartago,Turrialba,TresEquis,1964.0
Cartago,Turrialba,LaIsabel,6362.0
Cartago,Turrialba,Chirripó,4584.0
Cartago,Alvarado,Pacayas,5989.0
Cartago,Alvarado,Cervantes,6916.0
Cartago,Alvarado,Capellades,2710.0
Cartago,Oreamuno,SanRafael,29275.0
Cartago,Oreamuno,Cot,11360.0
Cartago,Oreamuno,PotreroCerrado,2705.0
Cartago,Oreamuno,Cipreses,4234.0
Cartago,Oreamuno,SantaRosa,3021.0
Cartago,ElGuarco,ElTejar,27037.0
Cartago,ElGuarco,SanIsidro,11632.0
Cartago,ElGuarco,Tobosi,7834.0
Cartago,ElGuarco,PatiodeAgua,456.0
Heredia,Heredia,Heredia,18988.0
Heredia,Heredia,Mercedes,30276.0
Heredia,Heredia,SanFrancisco,60166.0
Heredia,Heredia,Ulloa,35618.0
Heredia,Heredia,Varablanca,972.0
Heredia,Barva,Barva,5099.0
Heredia,Barva,SanPedro,12026.0
Heredia,Barva,SanPablo,10105.0
Heredia,Barva,SanRoque,5507.0
Heredia,Barva,SantaLucía,8524.0
Heredia,Barva,SanJosédelaMontaña,6929.0
Heredia,SantoDomingo,SantoDomingo,5050.0
Heredia,SantoDomingo,SanVicente,8072.0
Heredia,SantoDomingo,SanMiguel,7988.0
Heredia,SantoDomingo,Paracito,2832.0
Heredia,SantoDomingo,SantoTomás,7953.0
Heredia,SantoDomingo,SantaRosa,9264.0
Heredia,SantoDomingo,Tures,4477.0
Heredia,SantoDomingo,Pará,4199.0
Heredia,SantaBárbara,SantaBárbara,6394.0
Heredia,SantaBárbara,SanPedro,7016.0
Heredia,SantaBárbara,SanJuan,9308.0
Heredia,SantaBárbara,Jesús,11842.0
Heredia,SantaBárbara,SantoDomingo,3699.0
Heredia,SantaBárbara,Purabá,5619.0
Heredia,SanRafael,SanRafael,10787.0
Heredia,SanRafael,SanJosecito,14331.0
Heredia,SanRafael,Santiago,10534.0
Heredia,SanRafael,Ángeles,13017.0
Heredia,SanRafael,Concepción,7891.0
Heredia,SanIsidro,SanIsidro,6413.0
Heredia,SanIsidro,SanJosé,8895.0
Heredia,SanIsidro,Concepción,3115.0
Heredia,SanIsidro,SanFrancisco,5232.0
Heredia,Belén,SanAntonio,11625.0
Heredia,Belén,LaRibera,7753.0
Heredia,Belén,LaAsunción,7475.0
Heredia,Flores,SanJoaquín,8341.0
Heredia,Flores,Barrantes,5340.0
Heredia,Flores,Llorente,11720.0
Heredia,SanPablo,SanPablo,21485.0
Heredia,SanPablo,RincóndeSabanilla,10034.0
Heredia,Sarapiquí,PuertoViejo,31580.0
Heredia,Sarapiquí,LaVirgen,16493.0
Heredia,Sarapiquí,LasHorquetas,35957.0
Heredia,Sarapiquí,LlanurasdelGaspar,2059.0
Heredia,Sarapiquí,Cureña,1598.0
Guanacaste,Liberia,Liberia,67132.0
Guanacaste,Liberia,CañasDulces,4075.0
Guanacaste,Liberia,Mayorga,2032.0
Guanacaste,Liberia,Nacascolo,3129.0
Guanacaste,Liberia,Curubandé,3242.0
Guanacaste,Nicoya,Nicoya,27131.0
Guanacaste,Nicoya,Mansión,5772.0
Guanacaste,Nicoya,SanAntonio,7148.0
Guanacaste,Nicoya,QuebradaHonda,2591.0
Guanacaste,Nicoya,Sámara,4685.0
Guanacaste,Nicoya,Nosara,7213.0
Guanacaste,Nicoya,BeléndeNosarita,3084.0
Guanacaste,SantaCruz,SantaCruz,28008.0
Guanacaste,SantaCruz,Bolsón,2182.0
Guanacaste,SantaCruz,VeintisietedeAbril,9302.0
Guanacaste,SantaCruz,Tempate,6467.0
Guanacaste,SantaCruz,Cartagena,5147.0
Guanacaste,SantaCruz,Cuajiniquil,2678.0
Guanacaste,SantaCruz,Diriá,4983.0
Guanacaste,SantaCruz,CaboVelas,4381.0
Guanacaste,SantaCruz,Tamarindo,8136.0
Guanacaste,Bagaces,Bagaces,16462.0
Guanacaste,Bagaces,LaFortuna,3112.0
Guanacaste,Bagaces,Mogote,4079.0
Guanacaste,Bagaces,RíoNaranjo,1194.0
Guanacaste,Carrillo,Filadelfia,8967.0
Guanacaste,Carrillo,Palmira,6910.0
Guanacaste,Carrillo,Sardinal,20094.0
Guanacaste,Carrillo,Belén,11785.0
Guanacaste,Cañas,Cañas,26577.0
Guanacaste,Cañas,Palmira,1361.0
Guanacaste,Cañas,SanMiguel,2076.0
Guanacaste,Cañas,Bebedero,2582.0
Guanacaste,Cañas,Porozal,797.0
Guanacaste,Abangares,LasJuntas,10437.0
Guanacaste,Abangares,Sierra,2827.0
Guanacaste,Abangares,SanJuan,1857.0
Guanacaste,Abangares,Colorado,5161.0
Guanacaste,Tilarán,Tilarán,9449.0
Guanacaste,Tilarán,QuebradaGrande,3104.0
Guanacaste,Tilarán,Tronadora,2029.0
Guanacaste,Tilarán,SantaRosa,2188.0
Guanacaste,Tilarán,Líbano,958.0
Guanacaste,Tilarán,TierrasMorenas,1545.0
Guanacaste,Tilarán,Arenal,2711.0
Guanacaste,Tilarán,Cabeceras,
Guanacaste,Nandayure,Carmona,2663.0
Guanacaste,Nandayure,SantaRita,1480.0
Guanacaste,Nandayure,Zapotal,1263.0
Guanacaste,Nandayure,SanPablo,2362.0
Guanacaste,Nandayure,Porvenir,759.0
Guanacaste,Nandayure,Bejuco,3311.0
Guanacaste,LaCruz,LaCruz,13204.0
Guanacaste,LaCruz,SantaCecilia,9191.0
Guanacaste,LaCruz,LaGarita,2665.0
Guanacaste,LaCruz,SantaElena,3011.0
Guanacaste,Hojancha,Hojancha,4707.0
Guanacaste,Hojancha,MonteRomo,724.0
Guanacaste,Hojancha,PuertoCarrillo,1893.0
Guanacaste,Hojancha,Huacas,761.0
Guanacaste,Hojancha,Matambú,
Puntarenas,Puntarenas,Puntarenas,10342.0
Puntarenas,Puntarenas,Pitahaya,2755.0
Puntarenas,Puntarenas,Chomes,6645.0
Puntarenas,Puntarenas,Lepanto,10444.0
Puntarenas,Puntarenas,Paquera,8410.0
Puntarenas,Puntarenas,Manzanillo,3459.0
Puntarenas,Puntarenas,Guacimal,1173.0
Puntarenas,Puntarenas,Barranca,39426.0
Puntarenas,Puntarenas,MonteVerde,4943.0
Puntarenas,Puntarenas,IsladelCoco,
Puntarenas,Puntarenas,Cóbano,9736.0
Puntarenas,Puntarenas,Chacarita,21244.0
Puntarenas,Puntarenas,Chira,1714.0
Puntarenas,Puntarenas,Acapulco,1560.0
Puntarenas,Puntarenas,ElRoble,21240.0
Puntarenas,Puntarenas,Arancibia,784.0
Puntarenas,Esparza,EspírituSanto,22181.0
Puntarenas,Esparza,SanJuanGrande,8915.0
Puntarenas,Esparza,Macacona,5482.0
Puntarenas,Esparza,SanRafael,1725.0
Puntarenas,Esparza,SanJerónimo,941.0
Puntarenas,Esparza,Caldera,
Puntarenas,BuenosAires,BuenosAires,29454.0
Puntarenas,BuenosAires,Volcán,3690.0
Puntarenas,BuenosAires,PotreroGrande,6494.0
Puntarenas,BuenosAires,Boruca,3289.0
Puntarenas,BuenosAires,Pilas,1749.0
Puntarenas,BuenosAires,Colinas,1391.0
Puntarenas,BuenosAires,Chánguena,2929.0
Puntarenas,BuenosAires,Biolley,2589.0
Puntarenas,BuenosAires,Brunka,3197.0
Puntarenas,MontesdeOro,Miramar,9027.0
Puntarenas,MontesdeOro,LaUnión,1513.0
Puntarenas,MontesdeOro,SanIsidro,4047.0
Puntarenas,Osa,PuertoCortés,8844.0
Puntarenas,Osa,Palmar,9716.0
Puntarenas,Osa,Sierpe,3645.0
Puntarenas,Osa,BahíaBallena,3487.0
Puntarenas,Osa,PiedrasBlancas,4529.0
Puntarenas,Osa,BahíaDrake,1162.0
Puntarenas,Quepos,Quepos,25665.0
Puntarenas,Quepos,Savegre,4116.0
Puntarenas,Quepos,Naranjito,4239.0
Puntarenas,Golfito,Golfito,11867.0
Puntarenas,Golfito,PuertoJiménez,12836.0
Puntarenas,Golfito,Guaycará,14120.0
Puntarenas,Golfito,Pavón,7700.0
Puntarenas,CotoBrus,SanVito,16629.0
Puntarenas,CotoBrus,Sabalito,13202.0
Puntarenas,CotoBrus,Aguabuena,7050.0
Puntarenas,CotoBrus,Limoncito,4152.0
Puntarenas,CotoBrus,Pittier,3247.0
Puntarenas,CotoBrus,GutiérrezBraun,
Puntarenas,Parrita,Parrita,20984.0
Puntarenas,Corredores,Corredor,20050.0
Puntarenas,Corredores,LaCuesta,5333.0
Puntarenas,Corredores,Canoas,15929.0
Puntarenas,Corredores,Laurel,12172.0
Puntarenas,Garabito,Jacó,18613.0
Puntarenas,Garabito,Tárcoles,8791.0
Limón,Limón,Limón,60710.0
Limón,Limón,ValleLaEstrella,20818.0
Limón,Limón,RíoBlanco,10257.0
Limón,Limón,Matama,8451.0
Limón,Pococí,Guápiles,39611.0
Limón,Pococí,Jiménez,13052.0
Limón,Pococí,Rita,29241.0
Limón,Pococí,Roxana,20342.0
Limón,Pococí,Cariari,40278.0
Limón,Pococí,Colorado,5040.0
Limón,Pococí,LaColonia,7110.0
Limón,Siquirres,Siquirres,34576.0
Limón,Siquirres,Pacuarito,10804.0
Limón,Siquirres,Florida,2656.0
Limón,Siquirres,Germania,3062.0
Limón,Siquirres,ElCairo,7628.0
Limón,Siquirres,Alegría,6947.0
Limón,Siquirres,Reventazón,
Limón,Talamanca,Bratsi,10590.0
Limón,Talamanca,Sixaola,11847.0
Limón,Talamanca,Cahuita,13656.0
Limón,Talamanca,Telire,8709.0
Limón,Matina,Matina,10437.0
Limón,Matina,Batán,20814.0
Limón,Matina,Carrandi,16140.0
Limón,Guácimo,Guácimo,26152.0
Limón,Guácimo,Mercedes,2357.0
Limón,Guácimo,Pocora,8494.0
Limón,Guácimo,RíoJiménez,11836.0
Limón,Guácimo,Duacarí,8182.0
